LEGACY_CONDITION_TYPE	CONDITION_TYPE	APPLICATION	USAGE_OF_COND_TABLE	CONDITION_TYPE_TXT_GBL	CONDITION_TYPE_TXT_LCL	DI_TIMESTAMP									
JOIG	JOIG	TX	A	IN:Integrated GST-OP	IN: Integr.GST Ausg.	2018.06.19 05:33:47									
JOSG	JOSG	TX	A	IN: State GST – OP	IN: BundSt.GST Ausg.	2018.06.19 05:33:47									
JOUG	JOUG	TX	A	IN:Union Ter. GST-OP	IN: Unionst.GST Ausg	2018.06.19 05:33:47									
JP1E	JP1E	M	A	A/P Sales Tax 1 Exp.		2018.06.19 05:33:47									
JP1E	JP1E	TX	A	A/P Sales Tax 1 Exp.	KR Umsatzst. 1 Befr.	2018.06.19 05:33:47									
JP1I	JP1I	M	A	A/P Sales Tax 1 Inv.		2018.06.19 05:33:47									
JP1I	JP1I	TX	A	A/P Sales Tax 1 Inv.	KR Umsatzst. 1 Best.	2018.06.19 05:33:47									
JP1U	JP1U	M	A	A/P Sales Tax 1 Use		2018.06.19 05:33:47									
JP1U	JP1U	TX	A	A/P Sales Tax 1 Use	KR Umsatzst. 1 Verw.	2018.06.19 05:33:47									
JP2E	JP2E	M	A	A/P Sales Tax 2 Exp.		2018.06.19 05:33:47									
JP2E	JP2E	TX	A	A/P Sales Tax 2 Exp.	KR Umsatzst. 2 Befr.	2018.06.19 05:33:47									
JP2I	JP2I	M	A	A/P Sales Tax 2 Inv.		2018.06.19 05:33:47									
JP2I	JP2I	TX	A	A/P Sales Tax 2 Inv.	KR Umsatzst. 2 Best.	2018.06.19 05:33:47									
JP2U	JP2U	M	A	A/P Sales Tax 2 Use		2018.06.19 05:33:47									
JP2U	JP2U	TX	A	A/P Sales Tax 2 Use	KR Umsatzst. 2 Verw.	2018.06.19 05:33:47									
JP3E	JP3E	M	A	A/P Sales Tax 3 Exp.		2018.06.19 05:33:47									
JP3E	JP3E	TX	A	A/P Sales Tax 3 Exp.	KR Umsatzst. 3 Befr.	2018.06.19 05:33:47									
JP3I	JP3I	M	A	A/P Sales Tax 3 Inv.		2018.06.19 05:33:47									
JP3I	JP3I	TX	A	A/P Sales Tax 3 Inv.	KR Umsatzst. 3 Best.	2018.06.19 05:33:47									
JP3U	JP3U	M	A	A/P Sales Tax 3 Use		2018.06.19 05:33:47									
JP3U	JP3U	TX	A	A/P Sales Tax 3 Use	KR Umsatzst. 3 Verw.	2018.06.19 05:33:47									
JP4E	JP4E	M	A	A/P Sales Tax 4 Exp.		2018.06.19 05:33:47									
JP4E	JP4E	TX	A	A/P Sales Tax 4 Exp.	KR Umsatzst. 4 Befr.	2018.06.19 05:33:47									
JP4I	JP4I	M	A	A/P Sales Tax 4 Inv.		2018.06.19 05:33:47									
JP4I	JP4I	TX	A	A/P Sales Tax 4 Inv.	KR Umsatzst. 4 Best.	2018.06.19 05:33:47									
JP4U	JP4U	M	A	A/P Sales Tax 4 Use		2018.06.19 05:33:47									
JP4U	JP4U	TX	A	A/P Sales Tax 4 Use	KR Umsatzst. 4 Verw.	2018.06.19 05:33:47									
JR1	JR1	M	A	A/R Sales Tax JC 1		2018.06.19 05:33:47									
JR1	JR1	TX	A	A/R Sales Tax 1	DE Umsatzsteuer 1	2018.06.19 05:33:47									
JR1	JR1	V	A	Tax Jur Code Level 1	SteuerStandCde St. 1	2018.06.19 05:33:47									
JR2	JR2	M	A	A/R Sales Tax JC 2		2018.06.19 05:33:47									
JR2	JR2	TX	A	A/R Sales Tax 2	DE Umsatzsteuer 2	2018.06.19 05:33:47									
JR2	JR2	V	A	Tax Jur Code Level 2	SteuerStandCde St. 2	2018.06.19 05:33:47									
JR3	JR3	M	A	A/R Sales Tax JC 3		2018.06.19 05:33:47									
JR3	JR3	TX	A	A/R Sales Tax 3	DE Umsatzsteuer 3	2018.06.19 05:33:47									
JR3	JR3	V	A	Tax Jur Code Level 3	SteuerStandCde St. 3	2018.06.19 05:33:47									
JR4	JR4	M	A	A/R Sales Tax JC 4		2018.06.19 05:33:47									
JR4	JR4	TX	A	A/R Sales Tax 4	DE Umsatzsteuer 4	2018.06.19 05:33:47									
JR4	JR4	V	A	Tax Jur Code Level 4	SteuerStandCde St. 4	2018.06.19 05:33:47									
JRC1	JRC1	TX	A	A/R Sales GST	Debitoren Umsatz GST	2018.06.19 05:33:47									
JRC2	JRC2	TX	A	A/R Sales PST	Debitoren Umsatz PST	2018.06.19 05:33:47									
JRC3	JRC3	TX	A	A/R Sales QST	Debitoren Umsatz QST	2018.06.19 05:33:47									
JRC4	JRC4	TX	A	A/R Sales HST	Debitoren Umsatz HST	2018.06.19 05:33:47									
JRCN	JRCN	TX	A	IN: RCM CESS Inv	IN: RCM CESS inv.	2018.06.19 05:33:47									
JSED	JSED	TX	A	IN: A/R SED	IN: DE SED	2018.06.19 05:33:47									
JSER	JSER	TX	A	IN: Service tax	IN: DienstleisSteuer	2018.06.19 05:33:47									
JSIP	JSIP	TX	A	IN SED inventory %	IN SED Bestand %	2018.06.19 05:33:47									
JSIQ	JSIQ	TX	A	IN SED inventory Qty	IN SED Bestandsmenge	2018.06.19 05:33:47									
JSO1	JSO1	TX	A	IN: A/P SED deductib	IN: KR SED abzugsf.	2018.06.19 05:33:47									
JSO2	JSO2	TX	A	IN:A/P SED non deduc	IN:KR SED ni.abzugs.	2018.06.19 05:33:47									
JSOP	JSOP	TX	A	IN: SED setoff %	IN: SED Aufrechn. %	2018.06.19 05:33:47									
JSOQ	JSOQ	TX	A	IN: SED setoff Qty	IN: SED Aufrech. Mge	2018.06.19 05:33:47									
JSRN	JSRN	TX	A	IN: RCM SGST Inv	IN: RCM SGST inv.	2018.06.19 05:33:47									
JSVD	JSVD	TX	A	IN:Service tax debit	IN: DienstlSt. Soll	2018.06.19 05:33:47									
JSX1	JSX1	TX	A	IN: A/P SED setoff	IN: KR SED Aufrechn.	2018.06.19 05:33:47									
JSX2	JSX2	TX	A	IN: A/P SED inventor	IN: KR SED Bestand	2018.06.19 05:33:47									
JURN	JURN	TX	A	IN: RCM UTGST Inv	IN: RCM UTGST inv.	2018.06.19 05:33:47									
KO00	KO00	V1	B	Contract	Vertrag	2018.06.19 05:33:47									
KOFI	KOFI	V	C	Acct determination	Kontenfindung	2018.06.19 05:33:47									
KOFK	KOFK	V	C	Acct Determ.with CO	Kontenfindung mit CO	2018.06.19 05:33:47									
KONS	KONS	MR	B	Consignment	Konsignation	2018.06.19 05:33:47									
KORP	KORP	V	C	Purchasing Rebate		2018.06.19 05:33:47									
KORS	KORS	V	C	Sales Rebate	Umsatzbonus	2018.06.19 05:33:47									
KPXX	KPXX	TX	A	Output Tax (test)	Ausgangssteu. (Test)	2018.06.19 05:33:47									
KRIC	KRIC	TX	A	Construc. Inp Tax KR	Construc. Vorst. KR	2018.06.19 05:33:47									
KRIT	KRIT	TX	A	Input Tax KR	Vorsteuer KR	2018.06.19 05:33:47									
KRNI	KRNI	TX	A	Issue Exemption	Befreiung	2018.06.19 05:33:47									
KRNT	KRNT	TX	A	Non-ded.Input Tax KR	Ni.abzugsf.Vorst. KR	2018.06.19 05:33:47									
KROT	KROT	TX	A	Output Tax KR	Ausgangssteuer KR	2018.06.19 05:33:47									
KRPP	KRPP	TX	A	Payment by proxy KR	Zahlung d. Proxy KR	2018.06.19 05:33:47									
LAVA	LAVA	V2	B	Outg. ship.notifica.	Lieferavis Ausgang	2018.06.19 05:33:47									
LD00	LD00	V2	B	Delivery Note	Lieferschein	2018.06.19 05:33:47									
MAED	MAED	PA	B	QRelease (EDI)	MAbrufe (EDI)	2018.06.19 05:33:47									
MAFO	MAFO	PA	B	QRelease Print Form	MAbruf Druckformular	2018.06.19 05:33:47									
MAR	MAR	TX	A	A/P Maritime	KR Maritime	2018.06.19 05:33:47									
MAR1	MAR1	TX	A	A/R Maritime	DE Maritime	2018.06.19 05:33:47									
MLXA	MLXA	TX	A	Tax Credit	Steuer Haben	2018.06.19 05:33:47									
MLXV	MLXV	TX	A	Tax Debit	Steuer Soll	2018.06.19 05:33:47									
MSKA	MSKA	TX	A	Output Tax SK	Ausgangssteuer SK	2018.06.19 05:33:47									
MSKI	MSKI	TX	A	Input Tax (SK)	Vorsteuer (SK)	2018.06.19 05:33:47									
MSKO	MSKO	TX	A	Output Tax (SK)	Ausgangssteuer (SK)	2018.06.19 05:33:47									
MSKV	MSKV	TX	A	Input Tax SK	Vorsteuer SK	2018.06.19 05:33:47									
MW01	MW01	TX	A	Tax Trigger RU	Steuerauslöser RU	2018.06.19 05:33:47									
MWAA	MWAA	TX	A	Clearing Tax	Ausgleichssteuer	2018.06.19 05:33:47									
MWAI	MWAI	TX	A	Round.Up Output Tax	Ausgangsst. aufrund.	2018.06.19 05:33:47									
MWAL	MWAL	TX	A	Sumptuary Tax	Luxussteuer	2018.06.19 05:33:47									
MWAN	MWAN	TX	A	N.d. Output Tax	Ausgangsst.n.abz.	2018.06.19 05:33:47									
MWAR	MWAR	TX	A	Round.Down OutputTax	Ausgangsst. abrunden	2018.06.19 05:33:47									
MWAS	MWAS	M	A	output tax manually	Ausgangssteuer man.	2018.06.19 05:33:47									
MWAS	MWAS	TX	A	Output Tax	Ausgangssteuer	2018.06.19 05:33:47									
MWAS	MWAS	V	A	Output Tax	Ausgangssteuer	2018.06.19 05:33:47									
MWCN	MWCN	TX	A	Flat-rate Tax China	Pauschalsteuer China	2018.06.19 05:33:47									
MWNI	MWNI	TX	A	N.d.input tax	Nicht abz. Vorsteuer	2018.06.19 05:33:47									
MWR1	MWR1	TX	A	Sales Tax Credit(RU)	USt Haben (RU)	2018.06.19 05:33:47									
MWR2	MWR2	TX	A	Sales Tax Debit Rev	USt Soll Erl. (RU)	2018.06.19 05:33:47									
MWR3	MWR3	TX	A	Sales Tax Credit Rev	USt Haben Erl. (RU)	2018.06.19 05:33:47									
MWR4	MWR4	TX	A	Local SalesTax Cred.	Lokal USt Haben	2018.06.19 05:33:47									
MWR5	MWR5	TX	A	Local Debit Rev.(RU)	Lokal Soll Erl.(RU)	2018.06.19 05:33:47									
MWR6	MWR6	TX	A	Local Credit Rev.	Lokal Haben Erl.	2018.06.19 05:33:47									
MWRK	MWRK	TX	A	Travel Expenses (%)	Reisekosten (%)	2018.06.19 05:33:47									
MWS1	MWS1	TX	A	Subtotal	Zwischensumme	2018.06.19 05:33:47									
MWSI	MWSI	TX	A	Tax self invoice	Steuer - Eigen-Rech.	2018.06.19 05:33:47									
MWVI	MWVI	TX	A	Input Tax Round.up	Vorsteuer-Aufrundung	2018.06.19 05:33:47									
MWVN	MWVN	M	A	Non-deduct.Input Tax		2018.06.19 05:33:47									
MWVN	MWVN	TX	A	Non-deduct.Input Tax	Ni. abzugsf. Vorst.	2018.06.19 05:33:47									
MWVO	MWVO	TX	A	Input tax Offset	Vorsteuer Offset	2018.06.19 05:33:47									
MWVR	MWVR	TX	A	Round Off Input Tax	Vorsteuer-Abrundung	2018.06.19 05:33:47									
MWVS	MWVS	M	A	Input tax manually	Vorsteuer manuell	2018.06.19 05:33:47									
MWVS	MWVS	TX	A	Input tax	Vorsteuer	2018.06.19 05:33:47									
MWVY	MWVY	TX	A	Non-deduct.Input Tax	Ni. abzugsf. Vorst.	2018.06.19 05:33:47									
MWVZ	MWVZ	M	A	Non-deduct.Input Tax		2018.06.19 05:33:47									
MWVZ	MWVZ	TX	A	Non-deduct.Input Tax	Ni. abzugsf. Vorst.	2018.06.19 05:33:47									
MWWS	MWWS	TX	A	Simplif. Tax Output	Vereinf.St.-Ausgang	2018.06.19 05:33:47									
MWZB	MWZB	TX	A	Invst.Tax Norw.Basis	Basis InvesSt. Norw.	2018.06.19 05:33:47									
MWZG	MWZG	TX	A	Offsett.Item-Inv.Tax	Gegenpos.InvestSteu.	2018.06.19 05:33:47									
MWZI	MWZI	TX	A	Non-ded.InputTax -RU	Vorst.n.abz.zuo.-Auf	2018.06.19 05:33:47									
MWZS	MWZS	TX	A	Simplif. Tax Input	Vereinf. Steuereing.	2018.06.19 05:33:47									
MWZU	MWZU	TX	A	Investment Tax Norw.	Investitionsst.Norw.	2018.06.19 05:33:47									
NEU	NEU	EF	B	Purchase order	Bestellung	2018.06.19 05:33:47									
NEU	NEU	ES	B	Entry of Srvc Prfrmd	Leistungserfassung	2018.06.19 05:33:47									
NLAI	NLAI	TX	A	Acqu.Tax Outgoing-RU	Erwerbst.Ausgang-Auf	2018.06.19 05:33:47									
NLNA	NLNA	TX	A	Non-ded  Acqu. Tax	Nicht abz. Erwerbst.	2018.06.19 05:33:47									
NLVI	NLVI	TX	A	Acqu.Tax Inc.- Ro.up	Erwerbsteuer Aufs.	2018.06.19 05:33:47									
NLXA	NLXA	M	A	Acquisition Tax Cred		2018.06.19 05:33:47									
NLXA	NLXA	TX	A	Acquisition Tax Cred	Erwerbsteuer Haben	2018.06.19 05:33:47									
NLXN	NLXN	TX	A	Non-ded. Acqu. Tax	Nicht abz. Erwerbst.	2018.06.19 05:33:47									
NLXV	NLXV	M	A	Acquisition Tax Deb.		2018.06.19 05:33:47									
NLXV	NLXV	TX	A	Acquisition Tax Deb.	Erwerbsteuer Soll	2018.06.19 05:33:47									
NZE1	NZE1	TX	A	NZ Entertain-GST inv	NZ Vergnüg.-GST inv	2018.06.19 05:33:47									
NZE2	NZE2	TX	A	NZ Entertainment Tax	NZ Vergnügungssteuer	2018.06.19 05:33:47									
OZ01	OZ01	TX	A	Output Tax - Austr.	Ausgangssteuer - AU	2018.06.19 05:33:47									
OZ10	OZ10	TX	A	Input Tax - Austr.	Vorsteuer - AU	2018.06.19 05:33:47									
OZ11	OZ11	TX	A	Input Tax - Suspense	Vorsteuer - ZwKonto	2018.06.19 05:33:47									
OZ12	OZ12	TX	A	Input Tax - Non Ded.	Vorst. - nicht abz.	2018.06.19 05:33:47									
OZ13	OZ13	TX	A	Input Apport.Non-rec	VSt.quot.nicht weit.	2018.06.19 05:33:47									
PC02	PC02	V	A	Calculated costs	Kalkulierte Kosten	2018.06.19 05:33:47									
PCE1	PCE1	V	A	Cust. expected Price	Erwart. Kundenpreis	2018.06.19 05:33:47									
PCE2	PCE2	V	A	Cust. expected Value	Erwart. Kundenwert	2018.06.19 05:33:47									
PCIP	PCIP	V	A	Internal Price	Interner Preis	2018.06.19 05:33:47									
PCO1	PCO1	V	A	Actual Costs	Istkosten	2018.06.19 05:33:47									
PI01	PI01	V	A	Inter-company Price	PreisInterneVerrechn	2018.06.19 05:33:47									
PI02	PI02	V	A	Inter-company %	PreisInterneVerrProz	2018.06.19 05:33:47									
PIC1	PIC1	V	A	Inter-company Price	PreisInterneVerrechn	2018.06.19 05:33:47									
PIC2	PIC2	V	A	Inter-company %	PreisInterneVerrProz	2018.06.19 05:33:47									
PLAN	PLAN	TX	A	Car inp. NAV		2018.06.19 05:33:47									
PLV1	PLV1	TX	A	Cars Taxbase 50%		2018.06.19 05:33:47									
PLVN	PLVN	TX	A	Car inp. NVV		2018.06.19 05:33:47									
PLVS	PLVS	TX	A	Car inp. Tax ded.		2018.06.19 05:33:47									
PLXA	PLXA	TX	A	Car inp. ESA		2018.06.19 05:33:47									
PLXE	PLXE	TX	A	Car inp. ESE		2018.06.19 05:33:47									
PMP0	PMP0	M	A	Manual Gross Price	Bruttopreis manuell	2018.06.19 05:33:47									
PMP0	PMP0	V	A	Manual Price	Manueller Preis	2018.06.19 05:33:47									
PNP0	PNP0	V	A	Net Price	Nettopreis	2018.06.19 05:33:47									
PPR0	PPR0	M	A	Default Gross Price	Standardbruttopreis	2018.06.19 05:33:47									
PPR0	PPR0	V	A	Price	Preis	2018.06.19 05:33:47									
PSAM	PSAM	V	A	Standalone (Mat.)	EVP (Material)	2018.06.19 05:33:47									
PST	PST	TX	A	A/P PST & QST	KR PST & QST	2018.06.19 05:33:47									
PST1	PST1	TX	A	A/R PST & QST	DE PST & QST	2018.06.19 05:33:47									
PTI1	PTI1	TX	A	A/P PST Distributed	KR PST verteilt	2018.06.19 05:33:47									
PTI2	PTI2	TX	A	A/P PST Separate GL	KR PST Separates HB	2018.06.19 05:33:47									
PTI3	PTI3	TX	A	A/P PST Separate GL	KR PST Separates HB	2018.06.19 05:33:47									
PTI4	PTI4	TX	A	A/P PST Sep. B+GST	KR PST Sep. B+GST	2018.06.19 05:33:47									
PTU1	PTU1	TX	A	A/P Usage	KR Verwendung	2018.06.19 05:33:47									
PTU2	PTU2	TX	A	A/P Usage B+GST	KR Verwendung B+GST	2018.06.19 05:33:47									
PVA0	PVA0	V	A	Variant Price	Variantenpreis	2018.06.19 05:33:47									
PVA1	PVA1	V	A	Variant Price	Variantenpreis	2018.06.19 05:33:47									
REA1	REA1	M	A	Rebate Accruals		2018.06.19 05:33:47									
REA1	REA1	V	A	Rebate Accruals	Bonusrückstellungen	2018.06.19 05:33:47									
REA2	REA2	M	A	Rebate Accrual Rev		2018.06.19 05:33:47									
REA2	REA2	V	A	Rebate Accruals Rev	BonusrückstellAuflös	2018.06.19 05:33:47									
REA5	REA5	M	A	Rebate AccrualsSettl		2018.06.19 05:33:47									
REA5	REA5	V	A	Rebate AccrualsSettl	BonusrückstAbrechn.	2018.06.19 05:33:47									
REBD	REBD	M	A	Rebate BusVol Delta		2018.06.19 05:33:47									
REBD	REBD	V	A	Rebate BusVol Delta	Bonus Umsatz Delta	2018.06.19 05:33:47									
REBV	REBV	M	A	Rebate Business Vol.		2018.06.19 05:33:47									
REBV	REBV	V	A	Rebate Business Vol.	Bonusfähiger Umsatz	2018.06.19 05:33:47									
RED1	RED1	M	A	Rebate Accruals		2018.06.19 05:33:47									
RED1	RED1	V	A	Rebate Accruals	Bonusrückstellungen	2018.06.19 05:33:47									
RED2	RED2	M	A	Rebate Accr Total		2018.06.19 05:33:47									
RED2	RED2	V	A	Rebate Accr Total	Bonusrückst. gesamt	2018.06.19 05:33:47									
REJ1	REJ1	M	A	Rebate Adjustment		2018.06.19 05:33:47									
REJ1	REJ1	V	A	Rebate Adjustment	Bonusanpassung	2018.06.19 05:33:47									
REKL	REKL	MR	B	Complaint	Reklamation	2018.06.19 05:33:47									
RENT	RENT	M	A	Rebate Net Amount		2018.06.19 05:33:47									
RENT	RENT	V	A	Rebate Net Amount	Bonusnettobetrag	2018.06.19 05:33:47									
RES1	RES1	M	A	Rebate	Rückvergütung Rückst	2018.06.19 05:33:47									
RES1	RES1	V	A	Rebate	Bonus	2018.06.19 05:33:47									
RES2	RES2	M	A	Rebate PartSettl Rev		2018.06.19 05:33:47									
RES2	RES2	V	A	Rebate PartSettl Rev	BonusteilabrechStor.	2018.06.19 05:33:47									
RET0	RET0	M	A	Settlement Tax		2018.06.19 05:33:47									
RETO	RETO	M	A	Rebate Tax Outound		2018.06.19 05:33:47									
RETT	RETT	M	A	Rebate Tax Trigger		2018.06.19 05:33:47									
RETT	RETT	V	A	Rebate Tax Trigger	Bonussteuerauslöser	2018.06.19 05:33:47									
RETU	RETU	V	A	RebateTax Trigger US	BonussteuAuslöser US	2018.06.19 05:33:47									
RETX	RETX	V	A	Rebate Tax	Bonussteuer	2018.06.19 05:33:47									
REU1	REU1	V	A	Rebate Unlikelihood	Bonusunwahrscheinlk.	2018.06.19 05:33:47									
REV1	REV1	M	A	Rebate verified		2018.06.19 05:33:47									
REV1	REV1	V	A	Rebate Verified	Bonus verifiziert	2018.06.19 05:33:47									
RTXJ	RTXJ	M	A	Tax Jurisd.Code Outb		2018.06.19 05:33:47									
RUTX	RUTX	V	A	Rebate Tax	Bonussteuer	2018.06.19 05:33:47									
TFAD	TFAD	V	A	Factoring Disc. Tax	Steuer Delkredere	2018.06.19 05:33:47									
TTX1	TTX1	M	A	Non-Deductible Tax	Nicht abzugsf. St.	2018.06.19 05:33:47									
TTX1	TTX1	V	A	Output Tax	Ausgangssteuer	2018.06.19 05:33:47									
UTXJ	UTXJ	V	A	Tax Jurisdict.Code	Steuerstandort-Code	2018.06.19 05:33:47									
VS00	VS00	M	A	Tax trigger	Steuerauslöser	2018.06.19 05:33:47									
VTV1	VTV1	V	A	Target Value - VTV1	Zielwert - VTV1	2018.06.19 05:33:47									
XP1E	XP1E	M	A	A/P Sales Tax 1 Exp.		2018.06.19 05:33:47									
XP1E	XP1E	TX	A	A/P Sales Tax 1 Exp.	KR Umsatzst. 1 Befr.	2018.06.19 05:33:47									
XP1I	XP1I	M	A	A/P Sales Tax 1 Inv.		2018.06.19 05:33:47									
XP1I	XP1I	TX	A	A/P Sales Tax 1 Inv.	KR Umsatzst. 1 Best.	2018.06.19 05:33:47									
XP1U	XP1U	M	A	A/P Sales Tax 1 Use		2018.06.19 05:33:47									
XP1U	XP1U	TX	A	A/P Sales Tax 1 Use	KR Umsatzst. 1 Verw.	2018.06.19 05:33:47									
XP2E	XP2E	M	A	A/P Sales Tax 2 Exp.		2018.06.19 05:33:47									
XP2E	XP2E	TX	A	A/P Sales Tax 2 Exp.	KR Umsatzst. 2 Befr.	2018.06.19 05:33:47									
XP2I	XP2I	M	A	A/P Sales Tax 2 Inv.		2018.06.19 05:33:47									
XP2I	XP2I	TX	A	A/P Sales Tax 2 Inv.	KR Umsatzst. 2 Best.	2018.06.19 05:33:47									
XP2U	XP2U	M	A	A/P Sales Tax 2 Use		2018.06.19 05:33:47									
XP2U	XP2U	TX	A	A/P Sales Tax 2 Use	KR Umsatzst. 2 Verw.	2018.06.19 05:33:47									
XP3E	XP3E	M	A	A/P Sales Tax 3 Exp.		2018.06.19 05:33:47									
XP3E	XP3E	TX	A	A/P Sales Tax 3 Exp.	KR Umsatzst. 3 Befr.	2018.06.19 05:33:47									
XP3I	XP3I	M	A	A/P Sales Tax 3 Inv.		2018.06.19 05:33:47									
XP3I	XP3I	TX	A	A/P Sales Tax 3 Inv.	KR Umsatzst. 3 Best.	2018.06.19 05:33:47									
XP3U	XP3U	M	A	A/P Sales Tax 3 Use		2018.06.19 05:33:47									
XP3U	XP3U	TX	A	A/P Sales Tax 3 Use	KR Umsatzst. 3 Verw.	2018.06.19 05:33:47									
XP4E	XP4E	M	A	A/P Sales Tax 4 Exp.		2018.06.19 05:33:47									
XP4E	XP4E	TX	A	A/P Sales Tax 4 Exp.	KR Umsatzst. 4 Befr.	2018.06.19 05:33:47									
XP4I	XP4I	M	A	A/P Sales Tax 4 Inv.		2018.06.19 05:33:47									
XP4I	XP4I	TX	A	A/P Sales Tax 4 Inv.	KR Umsatzst. 4 Best.	2018.06.19 05:33:47									
XP4U	XP4U	M	A	A/P Sales Tax 4 Use		2018.06.19 05:33:47									
XP4U	XP4U	TX	A	A/P Sales Tax 4 Use	KR Umsatzst. 4 Verw.	2018.06.19 05:33:47									
XP5E	XP5E	M	A	A/P Sales Tax 5 Exp.		2018.06.19 05:33:47									
XP5E	XP5E	TX	A	A/P Sales Tax 5 Exp	KR Umsatzst. 5 Befr.	2018.06.19 05:33:47									
XP5I	XP5I	M	A	A/P Sales Tax 5 Inv.		2018.06.19 05:33:47									
XP5I	XP5I	TX	A	A/P Sales Tax 5 Inv.	KR Umsatzst. 5 Best.	2018.06.19 05:33:47									
XP5U	XP5U	M	A	A/P Sales Tax 5 Use		2018.06.19 05:33:47									
XP5U	XP5U	TX	A	A/P Sales Tax 5 Use	KR Umsatzst. 5 Verw.	2018.06.19 05:33:47									
XP6E	XP6E	M	A	A/P Sales Tax 6 Exp.		2018.06.19 05:33:47									
XP6E	XP6E	TX	A	A/P Sales Tax 6 Exp	KR Umsatzst. 6 Befr.	2018.06.19 05:33:47									
XP6I	XP6I	M	A	A/P Sales Tax 6 Inv.		2018.06.19 05:33:47									
XP6I	XP6I	TX	A	A/P Sales Tax 6 Inv.	KR Umsatzst. 6 Best.	2018.06.19 05:33:47									
XP6U	XP6U	M	A	A/P Sales Tax 6 Use		2018.06.19 05:33:47									
XP6U	XP6U	TX	A	A/P Sales Tax 6 Use	KR Umsatzst. 6 Verw.	2018.06.19 05:33:47									
XR1	XR1	M	A	Tax Jur Code Level 1		2018.06.19 05:33:47									
XR1	XR1	TX	A	A/R Sales Tax 1	DE Umsatzsteuer 1	2018.06.19 05:33:47									
XR1	XR1	V	A	Tax Jur Code Level 1	SteuerStandCde St. 1	2018.06.19 05:33:47									
XR2	XR2	M	A	Tax Jur Code Level 2		2018.06.19 05:33:47									
XR2	XR2	TX	A	A/R Sales Tax 2	DE Umsatzsteuer 2	2018.06.19 05:33:47									
XR2	XR2	V	A	Tax Jur Code Level 2	SteuerStandCde St. 2	2018.06.19 05:33:47									
XR3	XR3	M	A	Tax Jur Code Level 3		2018.06.19 05:33:47									
XR3	XR3	TX	A	A/R Sales Tax 3	DE Umsatzsteuer 3	2018.06.19 05:33:47									
XR3	XR3	V	A	Tax Jur Code Level 3	SteuerStandCde St. 3	2018.06.19 05:33:47									
XR4	XR4	M	A	Tax Jur Code Level 4		2018.06.19 05:33:47									
XR4	XR4	TX	A	A/R Sales Tax 4	DE Umsatzsteuer 4	2018.06.19 05:33:47									
XR4	XR4	V	A	Tax Jur Code Level 4	SteuerStandCde St. 4	2018.06.19 05:33:47									
XR5	XR5	M	A	Tax Jur Code Level 5		2018.06.19 05:33:47									
XR5	XR5	TX	A	A/R Sales Tax 5	DE Umsatzsteuer 5	2018.06.19 05:33:47									
XR5	XR5	V	A	Tax Jur Code Level 5	SteuerStandCde St. 5	2018.06.19 05:33:47									
XR6	XR6	M	A	Tax Jur Code Level 6		2018.06.19 05:33:47									
XR6	XR6	TX	A	A/R Sales Tax 6	DE Umsatzsteuer 6	2018.06.19 05:33:47									
XR6	XR6	V	A	Tax Jur Code Level 6	SteuerStandCde St. 6	2018.06.19 05:33:47									
XWVS	XWVS	TX	A	Input Tax	Vorsteuer	2018.06.19 05:33:47									
Y001	Y001	KA	A	Material	Material	2018.06.19 05:33:47									
Y001	Y001	V	D	Material Entered	Eingegeb. Material	2018.06.19 05:33:47									
Y002	Y002	KA	A	Production	Fertigung	2018.06.19 05:33:47									
YA00	YA00	V	N	Free Goods SD	Naturalrabatt SD	2018.06.19 05:33:47									
YB01	YB01	V	A	Special Surcharge	Sonderzuschlag	2018.06.19 05:33:47									
YB11	YB11	CO	H	BP: Batch number	BP: Chargennummer	2018.06.19 05:33:47									
YB11	YB11	ME	H	BP: Batch number	BP: Chargennummer	2018.06.19 05:33:47									
YB11	YB11	V	H	BP: Batch number	BP: Chargennummer	2018.06.19 05:33:47									
YB12	YB12	CO	H	BP: Expiration date	BP: Verfallsdatum	2018.06.19 05:33:47									
YB12	YB12	ME	H	BP: Expiration date	BP: Verfallsdatum	2018.06.19 05:33:47									
YB12	YB12	V	H	BP: Expiration date	BP: Verfallsdatum	2018.06.19 05:33:47									
YBHD	YBHD	V	A	Freight	Fracht	2018.06.19 05:33:47									
YK07	YK07	V	A	Customer Discount	Kundenrabatt	2018.06.19 05:33:47									
YOH1	YOH1	KA	A	Material overhead	GMKZ Material	2018.06.19 05:33:47									
YOH2	YOH2	KA	A	Production overhead	GMKZ Fertigung	2018.06.19 05:33:47									
YOH3	YOH3	KA	A	Administration ovh	GMKZ Verwaltung	2018.06.19 05:33:47									
YOH4	YOH4	KA	A	Sales overhead	GMKZ Vertrieb	2018.06.19 05:33:47									
YZWR	YZWR	V	A	Down Pay./Settlement	Anzahlung/Verrechn.	2018.06.19 05:33:47									
ZA02	ZA02	V	G	Listing w Org. Units	Listung mit OrgEinh.	2018.06.19 05:33:47									
ZB02	ZB02	V	G	Excl. w Org. Units	Ausschl. mit OrgEin.	2018.06.19 05:33:47									
ZLUX	ZLUX	TX	A			2018.06.19 05:33:47									
ZTRA	ZTRA	TX	A	SalesTaxWithholding	USt.-Einbehalt	2018.06.19 05:33:47									
